Country or Area,Proportion of pupils starting grade 1 who reach grade 5
Afghanistan,56.0
Albania,95.0
Algeria,95.0
American Samoa,95.0
Andorra,96.0
Angola,32.0
Anguilla,91.0
Antigua and Barbuda,91.0
Argentina,94.0
Aruba,91.0
Australia,95.0
Austria,97.0
Azerbaijan,96.0
Bahamas,89.0
Bangladesh,66.0
Barbados,91.0
Belarus,100.0
Belgium,93.0
Belize,90.0
Benin,68.0
Bhutan,91.0
Bolivia (Plurinational State of),91.0
Bonaire,91.0
Bosnia and Herzegovina,99.0
Botswana,93.0
Bouvet Island,91.0
Brazil,91.0
British Indian Ocean Territory,60.0
British Virgin Islands,91.0
Brunei Darussalam,96.0
Bulgaria,97.0
Burkina Faso,64.0
Burundi,56.0
Cambodia,56.0
Cameroon,66.0
Cape Verde,68.0
Cayman Islands,91.0
Central African Republic,46.0
Chad,28.0
Chile,91.0
China,99.0
Christmas Island,95.0
Cocos (Keeling) Islands,95.0
Colombia,85.0
Comoros,60.0
Congo,68.0
Cook Islands,95.0
Costa Rica,89.0
Croatia,99.0
Cuba,95.0
Curaçao,91.0
Czech Republic,100.0
Côte d'Ivoire,61.0
Democratic People's Republic of Korea,95.0
Democratic Republic of the Congo,55.0
Denmark,99.0
Djibouti,64.0
Dominica,88.0
Dominican Republic,91.0
Ecuador,91.0
El Salvador,86.0
Equatorial Guinea,62.0
Eritrea,69.0
Estonia,98.0
Ethiopia,47.0
Falkland Islands (Malvinas),91.0
Faroe Islands,96.0
Fiji,91.0
Finland,100.0
France,96.0
French Guiana,91.0
French Polynesia,95.0
French Southern Territories,60.0
Gabon,68.0
Gambia,61.0
Georgia,96.0
Germany,96.0
Ghana,72.0
Gibraltar,96.0
Greece,96.0
Grenada,91.0
Guadeloupe,91.0
Guam,95.0
Guatemala,91.0
Guernsey,96.0
Guinea,66.0
Guinea-Bissau,68.0
Guyana,83.0
Haiti,91.0
Heard Island and McDonald Islands,95.0
Holy See,96.0
Honduras,91.0
Hungary,98.0
Iceland,96.0
Indonesia,95.0
Iran (Islamic Republic of),94.0
Ireland,96.0
Isle of Man,96.0
Israel,99.0
Italy,100.0
Jamaica,95.0
Japan,100.0
Jersey,96.0
Kazakhstan,100.0
Kenya,60.0
Kiribati,56.0
Kuwait,96.0
Kyrgyzstan,98.0
Lao People's Democratic Republic,56.0
Latvia,95.0
Lebanon,92.0
Lesotho,69.0
Liberia,68.0
Liechtenstein,79.0
Lithuania,98.0
Luxembourg,96.0
Madagascar,35.0
Malawi,53.0
Malaysia,98.0
Mali,75.0
Malta,80.0
Marshall Islands,83.0
Martinique,91.0
Mauritania,71.0
Mauritius,98.0
Mayotte,60.0
Mexico,94.0
Micronesia (Federated States of),95.0
Monaco,96.0
Mongolia,94.0
Montenegro,96.0
Montserrat,91.0
Morocco,91.0
Mozambique,27.0
Myanmar,75.0
Namibia,83.0
Nauru,95.0
Nepal,56.0
Netherlands,96.0
New Caledonia,95.0
New Zealand,95.0
Nicaragua,91.0
Niger,69.0
Nigeria,80.0
Niue,95.0
Norfolk Island,95.0
Northern Mariana Islands,95.0
Norway,99.0
Pakistan,62.0
Palau,95.0
Panama,94.0
Papua New Guinea,95.0
Paraguay,78.0
Peru,90.0
Philippines,76.0
Pitcairn,95.0
Poland,98.0
Portugal,96.0
Puerto Rico,91.0
Republic of Korea,99.0
Republic of Moldova,95.0
Romania,97.0
Russian Federation,96.0
Rwanda,60.0
Réunion,60.0
Saint Barthélemy,91.0
Saint Helena,68.0
Saint Kitts and Nevis,74.0
Saint Lucia,92.0
Saint Martin (French Part),91.0
Saint Vincent and the Grenadines,91.0
Samoa,95.0
San Marino,96.0
Sao Tome and Principe,68.0
Sark,96.0
Senegal,60.0
Serbia,99.0
Seychelles,60.0
Sierra Leone,68.0
Singapore,99.0
Sint Maarten (Dutch part),91.0
Slovakia,98.0
Slovenia,100.0
Solomon Islands,56.0
Somalia,60.0
South Africa,60.0
South Georgia and the South Sandwich Islands,91.0
South Sudan,60.0
Spain,99.0
Sudan,56.0
Suriname,90.0
Svalbard and Jan Mayen Islands,96.0
Swaziland,84.0
Sweden,99.0
Switzerland,96.0
Syrian Arab Republic,95.0
Tajikistan,99.0
Thailand,95.0
The former Yugoslav Republic of Macedonia,96.0
Timor-Leste,67.0
Togo,59.0
Tokelau,95.0
Tonga,95.0
Trinidad and Tobago,89.0
Tunisia,95.0
Turkey,92.0
Turkmenistan,96.0
Turks and Caicos Islands,91.0
Tuvalu,56.0
Uganda,32.0
Ukraine,98.0
United Kingdom,96.0
United Republic of Tanzania,81.0
United States,93.0
United States Minor Outlying Islands,95.0
United States Virgin Islands,91.0
Uruguay,95.0
Uzbekistan,98.0
Vanuatu,71.0
Venezuela (Bolivarian Republic of),92.0
Viet Nam,95.0
Wallis and Futuna Islands,95.0
Yemen,56.0
Zambia,53.0
Zimbabwe,60.0
Åland Islands,96.0
